Sample	Population	Source	Haplotype	Sample_hap	x1	x2
HG00254	British	1000G	1	HG00254_H2	28.795567118716768	-62.324691028152415
HG00255	British	1000G	0	HG00255_H1	28.656542748749374	-64.35767991908641
HG00255	British	1000G	1	HG00255_H2	29.195499264307074	-63.489383383646455
HG00256	British	1000G	0	HG00256_H1	29.971477426885258	-63.76212095353485
HG00256	British	1000G	1	HG00256_H2	29.427994859420544	-65.9825688751599
HG00257	British	1000G	0	HG00257_H1	29.211092539314592	-65.05790960859242
HG00257	British	1000G	1	HG00257_H2	28.46363087468901	-63.98785541004999
HG00258	British	1000G	0	HG00258_H1	30.069127963985174	-63.981597284466005
HG00258	British	1000G	1	HG00258_H2	28.8614723981578	-65.52382641605087
HG00259	British	1000G	0	HG00259_H1	28.232873592250066	-64.90808035580949
HG00259	British	1000G	1	HG00259_H2	28.75349943631271	-64.52086016982229
HG00260	British	1000G	0	HG00260_H1	29.3686429919497	-64.4862657469854
HG00260	British	1000G	1	HG00260_H2	29.37519799695184	-65.20260437421801
HG00261	British	1000G	0	HG00261_H1	29.642966568687257	-65.87731746300517
HG00261	British	1000G	1	HG00261_H2	28.962013634489175	-62.724796359083726
HG00262	British	1000G	0	HG00262_H1	29.80720357090923	-65.40698865994642
HG00262	British	1000G	1	HG00262_H2	29.575354986956228	-65.23795467083129
HG00263	British	1000G	0	HG00263_H1	29.62575656743217	-65.18788616571517
HG00263	British	1000G	1	HG00263_H2	28.978545101629777	-64.11435394615218
HG00264	British	1000G	0	HG00264_H1	28.723250800036652	-64.17298365370989
HG00264	British	1000G	1	HG00264_H2	29.182721641846243	-64.75719106500996
HG00265	British	1000G	0	HG00265_H1	29.821401380382618	-66.93826236470933
HG00265	British	1000G	1	HG00265_H2	28.996031503276015	-64.98645984129999
HG00266	Finnish	1000G	0	HG00266_H1	30.406110242473545	-56.04521881920029
HG00266	Finnish	1000G	1	HG00266_H2	30.772288564102702	-56.41844496774668
HG00267	Finnish	1000G	0	HG00267_H1	32.75082074679625	-54.067081236972285
HG00267	Finnish	1000G	1	HG00267_H2	31.05845671207316	-56.24648375096991
HG00268	Finnish	1000G	0	HG00268_H1	31.0026828881513	-56.636815526292985
HG00268	Finnish	1000G	1	HG00268_H2	31.5487816219378	-58.59438730598039
HG00269	Finnish	1000G	0	HG00269_H1	31.283883209942225	-56.066024577155275
HG00269	Finnish	1000G	1	HG00269_H2	30.940697450808145	-56.17477626190396
HG00271	Finnish	1000G	0	HG00271_H1	31.50669670870947	-52.81455789566823
HG00271	Finnish	1000G	1	HG00271_H2	32.21900445432455	-54.81000301239214
HG00273	Finnish	1000G	0	HG00273_H1	31.592214561965008	-54.58338377045234
HG00273	Finnish	1000G	1	HG00273_H2	31.873250747124295	-58.06674488882153
HG00274	Finnish	1000G	0	HG00274_H1	31.563190845819626	-57.98938817065931
HG00274	Finnish	1000G	1	HG00274_H2	31.528259614889144	-56.584294175024326
HG00275	Finnish	1000G	0	HG00275_H1	30.900243101023264	-58.34772207865714
HG00275	Finnish	1000G	1	HG00275_H2	31.339299200095077	-56.821513664504074
HG00277	Finnish	1000G	0	HG00277_H1	32.03440232913025	-58.88182830680792
HG00277	Finnish	1000G	1	HG00277_H2	31.395276053003492	-59.699313677481115
HG00278	Finnish	1000G	0	HG00278_H1	31.758881668319773	-56.85032087730515
HG00278	Finnish	1000G	1	HG00278_H2	31.903409161808597	-55.645297691872216
HG00281	Finnish	1000G	0	HG00281_H1	32.360176451431975	-56.11448269271502
HG00281	Finnish	1000G	1	HG00281_H2	32.50260394692346	-55.82719469684462
HG00282	Finnish	1000G	0	HG00282_H1	31.245160184026005	-56.07642048752205
HG00282	Finnish	1000G	1	HG00282_H2	32.23062755124088	-55.40867852848856
HG00284	Finnish	1000G	0	HG00284_H1	32.35716960274968	-56.949153685204024
HG00284	Finnish	1000G	1	HG00284_H2	32.325290322602235	-55.56448413659483
HG00285	Finnish	1000G	0	HG00285_H1	34.18754091072305	-53.589791505157294
HG00285	Finnish	1000G	1	HG00285_H2	30.73927802048184	-55.659343327512524
HG00288	Finnish	1000G	0	HG00288_H1	32.168704178815354	-56.97773806202127
HG00288	Finnish	1000G	1	HG00288_H2	32.53982969597229	-56.26441340942773
HG00304	Finnish	1000G	0	HG00304_H1	30.852015749529173	-56.294367574176206
HG00304	Finnish	1000G	1	HG00304_H2	31.514725530742517	-55.30984351209041
HG00306	Finnish	1000G	0	HG00306_H1	31.019311519413534	-58.78322557655102
HG00306	Finnish	1000G	1	HG00306_H2	31.222414958476243	-57.97108135574861
HG00308	Finnish	1000G	0	HG00308_H1	30.407354529941856	-54.24256150322219
HG00308	Finnish	1000G	1	HG00308_H2	31.702381027701797	-55.49617739039326
HG00309	Finnish	1000G	0	HG00309_H1	31.13962346271706	-55.531018168160315
HG00309	Finnish	1000G	1	HG00309_H2	31.038428284675547	-55.53678441969211
HG00310	Finnish	1000G	0	HG00310_H1	32.145206873443676	-58.231152161285294
HG00310	Finnish	1000G	1	HG00310_H2	30.588420973971047	-57.138993409351094
HG00311	Finnish	1000G	0	HG00311_H1	31.53231694215613	-60.311030761736546
HG00311	Finnish	1000G	1	HG00311_H2	31.898646185570556	-59.16531813963499
HG00313	Finnish	1000G	0	HG00313_H1	32.59850668757469	-55.808125209043
HG00313	Finnish	1000G	1	HG00313_H2	32.03875397951616	-54.42928931515307
HG00315	Finnish	1000G	0	HG00315_H1	31.900478326460174	-55.64614185237898
HG00315	Finnish	1000G	1	HG00315_H2	31.14532038143848	-55.40617286607923
HG00318	Finnish	1000G	0	HG00318_H1	31.312124836722752	-58.51870620392285
HG00318	Finnish	1000G	1	HG00318_H2	32.03222171150584	-58.02937593822858
HG00319	Finnish	1000G	0	HG00319_H1	31.342859970575695	-55.999503778573725
HG00319	Finnish	1000G	1	HG00319_H2	31.147754624396534	-56.00024508931246
HG00324	Finnish	1000G	0	HG00324_H1	31.28703593076112	-54.122560658202026
HG00324	Finnish	1000G	1	HG00324_H2	31.109585956637567	-57.401194285591615
HG00325	Finnish	1000G	0	HG00325_H1	33.20667872523	-53.36789484579553
HG00325	Finnish	1000G	1	HG00325_H2	33.51752324387001	-53.20664139588041
HG00326	Finnish	1000G	0	HG00326_H1	32.12243215596107	-55.5715796675848
HG00326	Finnish	1000G	1	HG00326_H2	31.668287255879015	-57.3264122228631
HG00327	Finnish	1000G	0	HG00327_H1	31.24615227754019	-56.51341194393366
HG00327	Finnish	1000G	1	HG00327_H2	31.76804624521688	-55.09937641520849
HG00328	Finnish	1000G	0	HG00328_H1	31.374940414694237	-58.959018070356294
HG00328	Finnish	1000G	1	HG00328_H2	32.97508076742515	-56.644536307253674
HG00330	Finnish	1000G	0	HG00330_H1	30.412859142679473	-56.07097947963523
HG00330	Finnish	1000G	1	HG00330_H2	30.88238698033382	-56.526650712375954
HG00331	Finnish	1000G	0	HG00331_H1	31.229487096062783	-57.59297490580839
HG00331	Finnish	1000G	1	HG00331_H2	30.53320003026157	-56.56896764358172
HG00332	Finnish	1000G	0	HG00332_H1	31.52263682634672	-54.887054670826984
HG00332	Finnish	1000G	1	HG00332_H2	31.10287504546804	-57.410090232263535
HG00334	Finnish	1000G	0	HG00334_H1	30.358684402328564	-59.54640987169198
HG00334	Finnish	1000G	1	HG00334_H2	31.444922172054873	-57.705890203773805
HG00335	Finnish	1000G	0	HG00335_H1	31.26862791635137	-57.70618627442869
HG00335	Finnish	1000G	1	HG00335_H2	32.26661210421149	-56.540138016913374
HG00336	Finnish	1000G	0	HG00336_H1	33.84377466767262	-54.042612897347524
HG00336	Finnish	1000G	1	HG00336_H2	30.957618716408717	-56.038609499155044
HG00337	Finnish	1000G	0	HG00337_H1	31.393596189901594	-58.33134408203176
HG00337	Finnish	1000G	1	HG00337_H2	32.28062546288044	-59.82819404179426
HG00338	Finnish	1000G	0	HG00338_H1	31.540444261912754	-56.38070178009549
HG00338	Finnish	1000G	1	HG00338_H2	29.88892684282594	-57.87741845147259
HG00339	Finnish	1000G	0	HG00339_H1	32.65587337897855	-55.37447284567944
HG00339	Finnish	1000G	1	HG00339_H2	30.936163851973525	-55.07936382407072
HG00341	Finnish	1000G	0	HG00341_H1	29.109043051588472	-56.604664052967635
HG00341	Finnish	1000G	1	HG00341_H2	29.620740460347278	-57.83655573013938
HG00342	Finnish	1000G	0	HG00342_H1	32.8430998164265	-55.35893606451144
HG00342	Finnish	1000G	1	HG00342_H2	32.1184238890086	-55.20737600427173
HG00343	Finnish	1000G	0	HG00343_H1	30.922243910391813	-57.7241484786106
HG00343	Finnish	1000G	1	HG00343_H2	32.54161454354205	-55.247520075483564
HG00345	Finnish	1000G	0	HG00345_H1	32.31022530809298	-56.787607684273205
HG00345	Finnish	1000G	1	HG00345_H2	31.289480266861148	-55.47814219433161
HG00346	Finnish	1000G	0	HG00346_H1	31.955845580335584	-58.37558043127231
HG00346	Finnish	1000G	1	HG00346_H2	30.750298511903885	-57.17621004019428
HG00349	Finnish	1000G	0	HG00349_H1	31.819685554238376	-54.3104732760433
HG00349	Finnish	1000G	1	HG00349_H2	31.4216519411603	-57.10936887541739
HG00351	Finnish	1000G	0	HG00351_H1	30.986952539807554	-56.82500077927365
HG00351	Finnish	1000G	1	HG00351_H2	31.393898071854835	-56.39482928238284
HG00353	Finnish	1000G	0	HG00353_H1	32.320872934460304	-55.999128655821806
HG00353	Finnish	1000G	1	HG00353_H2	33.202154274905595	-56.77023513450757
HG00355	Finnish	1000G	0	HG00355_H1	31.689682340060614	-58.916422867499335
HG00355	Finnish	1000G	1	HG00355_H2	32.18072849697011	-56.71239598913248
HG00356	Finnish	1000G	0	HG00356_H1	31.08153196345735	-55.39818824809507
HG00356	Finnish	1000G	1	HG00356_H2	30.962589198048008	-58.117039829839484
HG00357	Finnish	1000G	0	HG00357_H1	31.60377958560249	-56.74336412806004
HG00357	Finnish	1000G	1	HG00357_H2	31.676077226160565	-58.27064943430044
HG00358	Finnish	1000G	0	HG00358_H1	32.15740640932226	-54.337645103846185
HG00358	Finnish	1000G	1	HG00358_H2	31.76419633448397	-54.371603181669414
HG00360	Finnish	1000G	0	HG00360_H1	31.666121178205522	-57.72904574902617
HG00360	Finnish	1000G	1	HG00360_H2	30.471149732900642	-57.966822767496026
HG00362	Finnish	1000G	0	HG00362_H1	31.277683958142454	-58.29130466510075
HG00362	Finnish	1000G	1	HG00362_H2	31.95787553064433	-54.77923484814642
HG00364	Finnish	1000G	0	HG00364_H1	30.56377092960159	-56.3572484401042
HG00364	Finnish	1000G	1	HG00364_H2	31.938353674546974	-55.85048154051505
HG00365	Finnish	1000G	0	HG00365_H1	32.479877069144734	-55.68285156200264
HG00365	Finnish	1000G	1	HG00365_H2	32.14768615408469	-55.726716270082086
HG00366	Finnish	1000G	0	HG00366_H1	31.599328802986008	-55.16397168373078
